epoch 01 | train mse 0.0016 | val mse 0.0009
epoch 02 | train mse 0.0005 | val mse 0.0009
epoch 03 | train mse 0.0004 | val mse 0.0009
epoch 04 | train mse 0.0004 | val mse 0.0009
epoch 05 | train mse 0.0004 | val mse 0.0009
epoch 06 | train mse 0.0004 | val mse 0.0009
epoch 07 | train mse 0.0004 | val mse 0.0009
epoch 08 | train mse 0.0004 | val mse 0.0009
epoch 09 | train mse 0.0004 | val mse 0.0009
epoch 10 | train mse 0.0004 | val mse 0.0009
epoch 11 | train mse 0.0004 | val mse 0.0009
epoch 12 | train mse 0.0004 | val mse 0.0009
epoch 13 | train mse 0.0004 | val mse 0.0009
epoch 14 | train mse 0.0004 | val mse 0.0009
epoch 15 | train mse 0.0004 | val mse 0.0008
epoch 16 | train mse 0.0004 | val mse 0.0009
epoch 17 | train mse 0.0004 | val mse 0.0009
epoch 18 | train mse 0.0004 | val mse 0.0009
epoch 19 | train mse 0.0004 | val mse 0.0009
epoch 20 | train mse 0.0004 | val mse 0.0009
